id;nome;ativo
316;UNIVERSIDADE NOVE DE JULHO;1
317;FACULDADES INTEGRADAS ALCANTARA MACHADO;0
318;FACULDADE DE ARTES ALCANTARA MACHADO;0
319;UNIVERSIDADE BRASIL;1
320;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE TATUI;0
321;FACULDADE UNIDAS DE TATUI;0
322;UNIVERSIDADE PAULISTA;1
328;FACULDADE DE CIENCIAS JURIDICAS E SOCIAIS VIANNA JUNIOR;0
329;ESCOLA SUPERIOR DE AGRONOMIA DE PARAGUACU PAULISTA;0
330;UNIVERSIDADE IGUACU;1
332;ESCOLA DE ENGENHARIA DE LINS;0
333;FACULDADE DE INFORMATICA DE LINS;0
334;FACULDADE DE SERVICO SOCIAL DE LINS;0
335;FACULDADE DE EDUCACAO E CIENCIAS PINHEIRENSE;0
336;FACULDADE MACHADO SOBRINHO;0
337;CENTRO UNIVERSITARIO ACADEMIA;1
338;PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS;1
339;FACULDADE UNINEVES;1
343;CENTRO UNIVERSITARIO NEWTON PAIVA;1
344;CENTRO UNIVERSITARIO UNA;1
345;ESCOLA DE ENGENHARIA KENNEDY;1
346;INSTITUTO SUPERIOR DE CIENCIAS APLICADAS ISCA;1
349;CENTRO UNIVERSITARIO DE BELO HORIZONTE;1
351;FACULDADE DE CIENCIAS MEDICAS DE MINAS GERAIS;1
352;CENTRO UNIVERSITARIO DE JOAO PESSOA;1
353;FACULDADE EVANGELICA MACKENZIE DO PARANA;1
355;UNIVERSIDADE TUIUTI DO PARANA;1
359;ESCOLA SUPERIOR DE EDUCACAO FISICA DE MUZAMBINHO;0
360;CENTRO UNIVERSITARIO PAULISTANA;1
361;FACULDADE PAULISTA DE SERVICO SOCIAL DE SAO CAETANO DO SUL;1
362;FACULDADE PRIMUM;1
363;FACULDADE MOZARTEUM DE SAO PAULO;1
364;FACULDADE DE CIENCIAS CONTABEIS DE PONTE NOVA;0
367;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;1
368;FACULDADE DE EDUCACAO FISICA DA ASSOCIACAO CRISTA DE MOCOS DE SOROCABA;1
369;FACULDADE AUXILIUM DE FILOSOFIA CIENCIAS E LETRAS DE LINS;0
370;FACULDADE PAULISTA DE ARTES;1
371;FACULDADE DE MUSICA CARLOS GOMES;1
372;FACULDADE DE BIBLIOTECONOMIA E CIENCIA DA INFORMACAO;1
373;ESCOLA DE SOCIOLOGIA E POLITICA DE SAO PAULO;1
374;CENTRO UNIVERSITARIO DAS FACULDADES METROPOLITANAS UNIDAS;1
375;UNIVERSIDADE SANTO AMARO;1
