municipio;id;nome;cod_importacao
1502103;150210310;Carapajó;10
1502103;150210315;Curuçambaba;15
1502103;150210320;Janua Coeli;20
1502103;150210325;Juaba;25
1502103;150210330;Moiraba;30
1502103;150210336;Torres do Cupijó;36
1502103;150210340;Vila do Carmo do Tocantins;40
1502152;150215205;Canaã dos Carajás;05
1502202;150220205;Capanema;05
1502202;150220210;Mirasselvas;10
1502202;150220215;Tauari;15
1502301;150230105;Capitão Poço;05
1502400;150240005;Castanhal;05
1502400;150240010;Apeú;10
1502509;150250905;Chaves;05
1502509;150250910;São Sebastião de Viçosa;10
1502608;150260805;Colares;05
1502707;150270705;Conceição do Araguaia;05
1502756;150275605;Concórdia do Pará;05
1502764;150276405;Cumaru do Norte;05
1502772;150277205;Curionópolis;05
1502806;150280605;Curralinho;05
1502806;150280610;Piriá;10
1502855;150285505;Curuá;05
1502905;150290505;Curuçá;05
1502905;150290520;Lauro Sodré;20
1502905;150290525;Murajá;25
1502905;150290540;Ponta de Ramos;40
1502939;150293905;Dom Eliseu;05
1502954;150295405;Eldorado do Carajás;05
1503002;150300205;Faro;05
1503002;150300208;Nova Maracanã;08
1503044;150304405;Floresta do Araguaia;05
1503044;150304410;Bela Vista;10
1503077;150307705;Garrafão do Norte;05
1503093;150309305;Goianésia do Pará;05
1503101;150310105;Gurupá;05
1503101;150310110;Carrazedo;10
1503101;150310115;Itatupã;15
1503200;150320005;Igarapé-Açu;05
1503200;150320010;Caripi;10
1503309;150330905;Igarapé-Miri;05
1503309;150330910;Maiauatá;10
1503408;150340805;Inhangapi;05
1503457;150345705;Ipixuna do Pará;05
1503507;150350705;Irituia;05
1503606;150360605;Itaituba;05
1503606;150360620;Moraes Almeida;20
1503705;150370505;Itupiranga;05
1503754;150375405;Jacareacanga;05
1503754;150375420;Porto Rico;20
1503804;150380405;Jacundá;05
1503903;150390305;Juruti;05
1504000;150400005;Limoeiro do Ajuru;05
1504059;150405905;Mãe do Rio;05
1504109;150410905;Magalhães Barata;05
1504109;150410910;Cafezal;10
1504208;150420805;Marabá;05
1504307;150430705;Maracanã;05
1504307;150430715;Boa Esperança;15
1504307;150430740;São Roberto;40
1504406;150440605;Marapanim;05
1504406;150440610;Marudá;10
1504406;150440615;Matapiquara;15
1504406;150440620;Monte Alegre do Maú;20
1504406;150440622;Praia de Marudá;22
1504422;150442205;Marituba;05
1504455;150445505;Medicilândia;05
1504455;150445535;União da Floresta;35
1504505;150450505;Melgaço;05
1504505;150450510;Areias;10
1504604;150460405;Mocajuba;05
1504604;150460415;São Pedro de Viseu;15
1504703;150470305;Moju;05
1504703;150470310;Cairari;10
1504752;150475205;Mojuí dos Campos;05
1504802;150480205;Monte Alegre;05
1504901;150490105;Muaná;05
1504901;150490110;São Francisco da Jararaca;10
1504901;150490115;São Miguel do Pracuúba;15
1504950;150495005;Nova Esperança do Piriá;05
1504976;150497605;Nova Ipixuna;05
1505007;150500705;Nova Timboteua;05
1505007;150500710;Timboteua;10
1505031;150503105;Novo Progresso;05
1505031;150503110;Mil;10
1505064;150506405;Novo Repartimento;05
1505064;150506410;Belo Monte do Pará;10
1505064;150506420;Maracajá;20
1505064;150506440;Vitória da Conquista;40
1505106;150510605;Óbidos;05
1505205;150520505;Oeiras do Pará;05
1505304;150530405;Oriximiná;05
1505403;150540305;Ourém;05
1505437;150543705;Ourilândia do Norte;05
1505486;150548605;Pacajá;05
1505486;150548610;Bom Jardim;10
1505494;150549405;Palestina do Pará;05
1505502;150550205;Paragominas;05
1505536;150553605;Parauapebas;05
1505551;150555105;Pau D'Arco;05
1505601;150560105;Peixe-Boi;05
1505601;150560110;Tauarizinho;10
1505635;150563505;Piçarra;05
1505650;150565005;Placas;05
1505700;150570005;Ponta de Pedras;05
1505809;150580905;Portel;05
1505908;150590805;Porto de Moz;05
1505908;150590810;Veiros;10
1505908;150590815;Vilarinho do Monte;15
1506005;150600505;Prainha;05
1506005;150600510;Pacoval;10
1506005;150600525;Santa Maria do Uruará;25
1506104;150610405;Primavera;05
1506112;150611205;Quatipuru;05
1506112;150611210;Boa Vista;10
1506138;150613805;Redenção;05
1506161;150616105;Rio Maria;05
1506187;150618705;Rondon do Pará;05
1506195;150619505;Rurópolis;05
1506195;150619515;Divinópolis;15
1506203;150620305;Salinópolis;05
1506302;150630205;Salvaterra;05
1506302;150630210;Condeixa;10
1506302;150630215;Joanes;15
1506302;150630220;Jubim;20
1506302;150630225;Monsarás;25
1506351;150635105;Santa Bárbara do Pará;05
1506401;150640105;Santa Cruz do Arari;05
1506500;150650005;Santa Izabel do Pará;05
1506500;150650010;Americano;10
1506500;150650015;Caraparu;15
1506559;150655905;Santa Luzia do Pará;05
1506583;150658305;Santa Maria das Barreiras;05
1506583;150658310;Casa de Tábua;10
1506583;150658315;Nova Esperança;15
1506609;150660905;Santa Maria do Pará;05
1506708;150670805;Santana do Araguaia;05
1506807;150680705;Santarém;05
1506807;150680710;Alter do Chão;10
1506807;150680725;Boim;25
1506807;150680730;Curuai;30
1506807;150680740;Arapixuna;40
1506906;150690605;Santarém Novo;05
1507003;150700305;Santo Antônio do Tauá;05
1507003;150700310;Espírito Santo do Tauá;10
1507003;150700315;São Raimundo de Borralhos;15
1507102;150710205;São Caetano de Odivelas;05
1507102;150710210;Perseverança;10
1507151;150715105;São Domingos do Araguaia;05
1507201;150720105;São Domingos do Capim;05
1507300;150730005;São Félix do Xingu;05
1507300;150730020;Sudoeste;20
1507300;150730025;Taboca;25
1507300;150730030;Vila Ladeira Vermelha;30
1507300;150730035;Vila Lindoeste;35
1507300;150730040;Vila Nereu;40
1507409;150740905;São Francisco do Pará;05
1507458;150745805;São Geraldo do Araguaia;05
1507466;150746605;São João da Ponta;05
1507474;150747405;São João de Pirabas;05
1507474;150747410;Japerica;10
1507508;150750805;São João do Araguaia;05
1507508;150750810;Apinagés;10
1507607;150760705;São Miguel do Guamá;05
1507607;150760710;Caju;10
1507607;150760715;Urucuri;15
1507607;150760720;Urucuriteua;20
1507706;150770605;São Sebastião da Boa Vista;05
1507755;150775505;Sapucaia;05
1507805;150780505;Senador José Porfírio;05
1507904;150790405;Soure;05
1507953;150795305;Tailândia;05
1507953;150795310;Palmares;10
1507961;150796105;Terra Alta;05
1507979;150797905;Terra Santa;05
1508001;150800105;Tomé-Açu;05
1508035;150803505;Tracuateua;05
1508050;150805005;Trairão;05
1508084;150808405;Tucumã;05
1508100;150810005;Tucuruí;05
1508126;150812605;Ulianópolis;05
1508159;150815905;Uruará;05
1508159;150815910;Alvorada;10
1508209;150820905;Vigia;05
1508209;150820915;Porto Salvo;15
1508308;150830805;Viseu;05
1508308;150830815;Fernandes Belo;15
1508308;150830820;São José do Gurupi;20
1508308;150830825;São José do Piriá;25
1508357;150835705;Vitória do Xingu;05
1508407;150840705;Xinguara;05
1600055;160005505;Serra do Navio;05
1600055;160005510;Cachaço;10
1600105;160010505;Amapá;05
1600105;160010515;Sucuriju;15
1600154;160015405;Pedra Branca do Amapari;05
1600204;160020405;Calçoene;05
1600204;160020410;Cunani;10
1600204;160020415;Lourenço;15
1600212;160021205;Cutias;05
1600238;160023805;Ferreira Gomes;05
1600253;160025305;Itaubal;05
1600279;160027905;Laranjal do Jari;05
1600303;160030305;Macapá;05
1600303;160030310;Bailique;10
1600303;160030311;Carapanantuba;11
1600303;160030312;Fazendinha;12
1600303;160030324;São Joaquim do Pacuí;24
1600402;160040205;Mazagão;05
1600402;160040208;Carvão;08
1600402;160040215;Mazagão Velho;15
1600501;160050105;Oiapoque;05
1600501;160050110;Clevelândia do Norte;10
1600501;160050115;Vila Velha;15
1600501;160050120;Vila Brasil;20
1600535;160053505;Porto Grande;05
1600550;160055005;Pracuúba;05
1600600;160060005;Santana;05
1600600;160060007;Anauerapucu;07
1600600;160060010;Igarapé do Lago;10
1600600;160060015;Ilha de Santana;15
1600600;160060020;Piaçacá;20
1600600;160060023;Pirativa;23
1600709;160070905;Tartarugalzinho;05
1600808;160080805;Vitória do Jari;05
1700251;170025105;Abreulândia;05
1700301;170030105;Aguiarnópolis;05
1700350;170035005;Aliança do Tocantins;05
1700400;170040005;Almas;05
1700707;170070705;Alvorada;05
1701002;170100205;Ananás;05
1701051;170105105;Angico;05
1701101;170110105;Aparecida do Rio Negro;05
1701309;170130905;Aragominas;05
1701309;170130910;Reunidas;10
1701903;170190305;Araguacema;05
1702000;170200005;Araguaçu;05
1702109;170210905;Araguaína;05
1702158;170215805;Araguanã;05
1702208;170220805;Araguatins;05
1702208;170220810;Natal;10
1702208;170220820;Macaúba;20
1702307;170230705;Arapoema;05
1702406;170240605;Arraias;05
1702406;170240610;Cana Brava;10
1702554;170255405;Augustinópolis;05
1702703;170270305;Aurora do Tocantins;05
1702901;170290105;Axixá do Tocantins;05
1703008;170300805;Babaçulândia;05
1703057;170305705;Bandeirantes do Tocantins;05
1703073;170307305;Barra do Ouro;05
1703107;170310705;Barrolândia;05
1703206;170320605;Bernardo Sayão;05
1703305;170330505;Bom Jesus do Tocantins;05
1703602;170360205;Brasilândia do Tocantins;05
1703701;170370105;Brejinho de Nazaré;05
1703800;170380005;Buriti do Tocantins;05
1703826;170382605;Cachoeirinha;05
1703842;170384205;Campos Lindos;05
1703867;170386705;Cariri do Tocantins;05
1703883;170388305;Carmolândia;05
1703891;170389105;Carrasco Bonito;05
1703909;170390905;Caseara;05
1704105;170410505;Centenário;05
1704600;170460005;Chapada de Areia;05
1705102;170510205;Chapada da Natividade;05
1705508;170550805;Colinas do Tocantins;05
1705557;170555705;Combinado;05
1705607;170560705;Conceição do Tocantins;05
1706001;170600105;Couto Magalhães;05
1706100;170610005;Cristalândia;05
1706258;170625805;Crixás do Tocantins;05
1706506;170650605;Darcinópolis;05
1707009;170700905;Dianópolis;05
1707108;170710805;Divinópolis do Tocantins;05
1707207;170720705;Dois Irmãos do Tocantins;05
1707306;170730605;Dueré;05
1707405;170740505;Esperantina;05
1707553;170755305;Fátima;05
1707652;170765205;Figueirópolis;05
1707702;170770205;Filadélfia;05
1707702;170770210;Bielândia;10
1708205;170820505;Formoso do Araguaia;05
1708254;170825405;Tabocão;05
1708304;170830405;Goianorte;05
1709005;170900505;Goiatins;05
1709005;170900510;Cartucho;10
1709005;170900515;Craolândia;15
1709005;170900525;Alto Lindo;25
1709302;170930205;Guaraí;05
1709500;170950005;Gurupi;05
1709807;170980705;Ipueiras;05
1710508;171050805;Itacajá;05
1710706;171070605;Itaguatins;05
1710904;171090405;Itapiratins;05
1711100;171110005;Itaporã do Tocantins;05
1711506;171150605;Jaú do Tocantins;05
1711803;171180305;Juarina;05
1711902;171190205;Lagoa da Confusão;05
1711951;171195105;Lagoa do Tocantins;05
1712009;171200905;Lajeado;05
1712157;171215705;Lavandeira;05
1712405;171240505;Lizarda;05
1712405;171240510;Alto Bonito;10
1712454;171245405;Luzinópolis;05
1712504;171250405;Marianópolis do Tocantins;05
1712702;171270205;Mateiros;05
1712801;171280105;Maurilândia do Tocantins;05
1713205;171320505;Miracema do Tocantins;05
1713304;171330405;Miranorte;05
1713601;171360105;Monte do Carmo;05
1713700;171370005;Monte Santo do Tocantins;05
1713809;171380905;Palmeiras do Tocantins;05
1713957;171395705;Muricilândia;05
1714203;171420305;Natividade;05
1714203;171420320;Príncipe;20
1714302;171430205;Nazaré;05
1714880;171488005;Nova Olinda;05
1715002;171500205;Nova Rosalândia;05
1715101;171510105;Novo Acordo;05
1715150;171515005;Novo Alegre;05
1715259;171525905;Novo Jardim;05
1715507;171550705;Oliveira de Fátima;05
1715705;171570505;Palmeirante;05
1715754;171575405;Palmeirópolis;05
1716109;171610905;Paraíso do Tocantins;05
1716208;171620805;Paranã;05
1716208;171620810;Bom Jesus da Palma;10
1716208;171620815;Campo Alegre;15
1716307;171630705;Pau D'Arco;05
1716505;171650505;Pedro Afonso;05
1716505;171650510;Porto Real;10
1716604;171660405;Peixe;05
1716653;171665305;Pequizeiro;05
1716703;171670305;Colméia;05
1717008;171700805;Pindorama do Tocantins;05
1717206;171720605;Piraquê;05
1717503;171750305;Pium;05
1717800;171780005;Ponte Alta do Bom Jesus;05
1717909;171790905;Ponte Alta do Tocantins;05
1718006;171800605;Porto Alegre do Tocantins;05
1718204;171820405;Porto Nacional;05
1718204;171820425;Luzimangues;25
1718303;171830305;Praia Norte;05
1718402;171840205;Presidente Kennedy;05
1718451;171845105;Pugmil;05
1718501;171850105;Recursolândia;05
1718550;171855005;Riachinho;05
1718659;171865905;Rio da Conceição;05
1718709;171870905;Rio dos Bois;05
1718758;171875805;Rio Sono;05
1718808;171880805;Sampaio;05
1718840;171884005;Sandolândia;05
1718865;171886505;Santa Fé do Araguaia;05
1718881;171888105;Santa Maria do Tocantins;05
1718899;171889905;Santa Rita do Tocantins;05
1718907;171890705;Santa Rosa do Tocantins;05
1718907;171890710;Cangas;10
1718907;171890715;Morro de São João;15
1719004;171900405;Santa Tereza do Tocantins;05
1720002;172000205;Santa Terezinha do Tocantins;05
1720101;172010105;São Bento do Tocantins;05
1720150;172015005;São Félix do Tocantins;05
1720200;172020005;São Miguel do Tocantins;05
